2024-10-07 07:58:40,{'Running': 2, 'Unknown': 91, 'Tilting': 0, 'On-Foot': 3, 'In-Vehicle': 2, 'Still': 4, 'Walking': 1, 'most_likely': 'Unknown', 'On-Bicycle': 0, 'OnStairs': 0},In motion,(0.0, 0.0, 0.0),0,0.28760,0.71338,-0.74097,3.85474,0.00000,0.00000,0.00000,False,False,3.38459,0.14502
2024-10-07 07:58:41,{'Running': 2, 'Unknown': 91, 'Tilting': 0, 'On-Foot': 3, 'In-Vehicle': 2, 'Still': 4, 'Walking': 1, 'most_likely': 'Unknown', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,-0.15332,0.20532,-1.97070,3.47144,-1.03906,-1.40625,9.85156,False,False,3.40393,0.14180
2024-10-07 07:58:42,{'Running': 2, 'Unknown': 91, 'Tilting': 0, 'On-Foot': 3, 'In-Vehicle': 2, 'Still': 4, 'Walking': 1, 'most_likely': 'Unknown', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,-0.14917,0.22192,-1.95825,3.47754,-0.26953,-3.47266,7.36719,False,False,3.38459,0.14180
2024-10-07 07:58:44,{'Running': 1, 'Unknown': 50, 'Tilting': 0, 'On-Foot': 5, 'In-Vehicle': 11, 'Still': 34, 'Walking': 4, 'most_likely': 'Unknown', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,-0.35425,0.30615,-1.67383,3.60254,3.59766,-1.06250,11.19531,True,True,3.38459,0.14180
2024-10-07 07:58:45,{'Running': 1, 'Unknown': 50, 'Tilting': 0, 'On-Foot': 5, 'In-Vehicle': 11, 'Still': 34, 'Walking': 4, 'most_likely': 'Unknown', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,-0.36255,0.16577,-2.99829,2.61743,3.82813,-2.47656,9.89453,True,False,3.40393,0.14180
2024-10-07 07:58:46,{'Running': 0, 'Unknown': 6, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 88, 'Still': 4, 'Walking': 2, 'most_likely': 'In-Vehicle', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,0.23633,0.27100,-2.51074,3.09302,-1.19141,-0.79297,8.98047,False,True,3.38459,0.14180
2024-10-07 07:58:48,{'Running': 0, 'Unknown': 6, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 88, 'Still': 4, 'Walking': 2, 'most_likely': 'In-Vehicle', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,0.05469,0.75391,-2.36157,3.13867,-4.44531,-2.13281,7.39844,False,False,3.38137,0.14180
2024-10-07 07:58:49,{'Running': 0, 'Unknown': 6, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 88, 'Still': 4, 'Walking': 2, 'most_likely': 'In-Vehicle', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,1.04150,0.52197,-3.47729,1.59692,-2.41797,1.77344,11.58203,False,True,3.38459,0.14180
2024-10-07 07:58:50,{'Running': 0, 'Unknown': 6, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 88, 'Still': 4, 'Walking': 2, 'most_likely': 'In-Vehicle', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,0.92310,0.45825,-3.56934,1.48267,-2.80078,0.12500,10.96875,False,False,3.37815,0.14180
2024-10-07 07:58:52,{'Running': 0, 'Unknown': 6, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 88, 'Still': 4, 'Walking': 2, 'most_likely': 'In-Vehicle', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,0.05859,0.64063,-3.92114,0.45850,1.72266,-0.98438,12.00391,True,True,3.38459,0.14180
2024-10-07 07:58:53,{'Running': 0, 'Unknown': 6, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 88, 'Still': 4, 'Walking': 2, 'most_likely': 'In-Vehicle', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,-0.08179,0.52612,-3.93066,0.51538,-1.23047,-6.80859,-7.45313,False,False,3.42327,0.14180
2024-10-07 07:58:54,{'Running': 0, 'Unknown': 6, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 88, 'Still': 4, 'Walking': 2, 'most_likely': 'In-Vehicle', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,0.94556,-1.30396,3.48730,1.11548,4.51563,-1.48047,9.08594,True,False,3.41037,0.13857
