2024-10-07 00:19:23,{'Running': 2, 'Unknown': 91, 'Tilting': 0, 'On-Foot': 3, 'In-Vehicle': 2, 'Still': 4, 'Walking': 1, 'most_likely': 'Unknown', 'On-Bicycle': 0, 'OnStairs': 0},Unknown,(0.0, 0.0, 0.0),0,0.67236,-3.94189,0.07324,0.06909,0.00000,0.00000,0.00000,False,True,3.62952,0.24814
2024-10-07 00:19:24,{'Running': 2, 'Unknown': 91, 'Tilting': 0, 'On-Foot': 3, 'In-Vehicle': 2, 'Still': 4, 'Walking': 1, 'most_likely': 'Unknown', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.69653,-3.93750,0.07373,0.06885,0.37891,-0.29297,-9.72266,False,True,3.64885,0.24814
2024-10-07 00:19:26,{'Running': 2, 'Unknown': 91, 'Tilting': 0, 'On-Foot': 3, 'In-Vehicle': 2, 'Still': 4, 'Walking': 1, 'most_likely': 'Unknown', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.74316,-3.92920,0.07422,0.06641,0.37891,-0.29297,-9.76172,False,True,3.74241,0.24492
2024-10-07 00:19:27,{'Running': 3, 'Unknown': 30, 'Tilting': 0, 'On-Foot': 6, 'In-Vehicle': 4, 'Still': 60, 'Walking': 3, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,1.11011,-3.83057,0.29175,0.09424,3.98047,-1.59766,-8.83594,True,False,3.74563,0.24492
2024-10-07 00:19:28,{'Running': 3, 'Unknown': 30, 'Tilting': 0, 'On-Foot': 6, 'In-Vehicle': 4, 'Still': 60, 'Walking': 3, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,0.49829,-0.81909,3.44971,1.78369,1.87500,-1.25391,9.28125,True,False,3.65530,0.24170
2024-10-07 00:19:30,{'Running': 3, 'Unknown': 30, 'Tilting': 0, 'On-Foot': 6, 'In-Vehicle': 4, 'Still': 60, 'Walking': 3, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,0.42188,-0.72607,3.50903,1.72656,1.33594,-2.32422,9.66406,True,False,3.73919,0.24170
2024-10-07 00:19:31,{'Running': 5, 'Unknown': 6, 'Tilting': 100, 'On-Foot': 10, 'In-Vehicle': 7, 'Still': 77, 'Walking': 5, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.09351,-0.53467,3.71899,1.36890,1.33594,-2.32422,9.66406,True,False,3.64241,0.23848
2024-10-07 00:19:32,{'Running': 5, 'Unknown': 6, 'Tilting': 100, 'On-Foot': 10, 'In-Vehicle': 7, 'Still': 77, 'Walking': 5, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.09253,-0.53613,3.71753,1.37256,1.33594,-2.36328,9.62891,True,False,3.73919,0.23848
2024-10-07 00:19:34,{'Running': 5, 'Unknown': 6, 'Tilting': 100, 'On-Foot': 10, 'In-Vehicle': 7, 'Still': 77, 'Walking': 5, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.09204,-0.53687,3.71631,1.37549,1.33594,-2.32422,9.66406,True,False,3.65530,0.23525
2024-10-07 00:19:35,{'Running': 6, 'Unknown': 5, 'Tilting': 0, 'On-Foot': 12, 'In-Vehicle': 7, 'Still': 76, 'Walking': 6, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.09009,-0.53638,3.71240,1.38672,1.37500,-2.36328,9.66797,True,False,3.73919,0.23525
2024-10-07 00:19:36,{'Running': 6, 'Unknown': 5, 'Tilting': 0, 'On-Foot': 12, 'In-Vehicle': 7, 'Still': 76, 'Walking': 6, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,0.09033,-0.53662,3.71191,1.38770,1.49219,-1.44531,9.55078,True,False,3.72952,0.23203
2024-10-07 00:19:37,{'Running': 6, 'Unknown': 5, 'Tilting': 0, 'On-Foot': 12, 'In-Vehicle': 7, 'Still': 76, 'Walking': 6, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},In motion,False,0,0.15796,-0.41943,3.74707,1.32593,1.49219,-1.28906,9.70703,True,False,3.65207,0.22881
