2000-01-01 00:00:09,{'Running': 2, 'Unknown': 91, 'Tilting': 0, 'On-Foot': 3, 'In-Vehicle': 2, 'Still': 4, 'Walking': 1, 'most_likely': 'Unknown', 'On-Bicycle': 0, 'OnStairs': 0},Unknown,(0.0, 0.0, 0.0),0,-0.12378,-0.21655,-1.46094,3.71533,0.00000,0.00000,0.00000,True,False,3.80364,0.16113
2000-01-01 00:00:10,{'Running': 2, 'Unknown': 91, 'Tilting': 0, 'On-Foot': 3, 'In-Vehicle': 2, 'Still': 4, 'Walking': 1, 'most_likely': 'Unknown', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.42554,0.03784,-1.61206,3.63574,1.20703,-0.20703,9.73047,True,False,3.83264,0.16113
2000-01-01 00:00:12,{'Running': 3, 'Unknown': 55, 'Tilting': 0, 'On-Foot': 6, 'In-Vehicle': 4, 'Still': 35, 'Walking': 3, 'most_likely': 'Unknown', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.42163,0.03564,-1.61108,3.63672,1.20703,-0.20703,9.76563,True,False,3.82942,0.16113
2000-01-01 00:00:13,{'Running': 3, 'Unknown': 55, 'Tilting': 0, 'On-Foot': 6, 'In-Vehicle': 4, 'Still': 35, 'Walking': 3, 'most_likely': 'Unknown', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.41846,0.03027,-1.59302,3.64502,1.17188,-0.24609,9.72656,True,False,3.81009,0.16113
2000-01-01 00:00:14,{'Running': 1, 'Unknown': 3, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 94, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.43384,0.03613,-1.58472,3.64673,1.20703,-0.20703,9.76563,True,False,3.81975,0.16113
2000-01-01 00:00:16,{'Running': 1, 'Unknown': 3, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 94, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.43481,0.04224,-1.60278,3.63867,1.20703,-0.17188,9.76953,True,False,3.81975,0.16113
2000-01-01 00:00:17,{'Running': 1, 'Unknown': 3, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 94, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.43579,0.04028,-1.59424,3.64233,1.20703,-0.20703,9.76563,True,False,3.80364,0.16113
2000-01-01 00:00:18,{'Running': 1, 'Unknown': 3, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 94, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.43774,0.04028,-1.59131,3.64331,1.17188,-0.20703,9.76953,True,False,3.81975,0.15791
2000-01-01 00:00:20,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 96, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.42090,0.03857,-1.61572,3.63477,1.20703,-0.20703,9.76563,True,False,3.80686,0.15791
2000-01-01 00:00:21,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 96, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.42041,0.03760,-1.61401,3.63550,1.20703,-0.20703,9.76563,True,False,3.81975,0.15791
2000-01-01 00:00:23,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 96, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.44238,0.04370,-1.59521,3.64111,1.20703,-0.24609,9.76563,True,False,3.85842,0.15791
2000-01-01 00:00:24,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 96, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.43115,0.03955,-1.60107,3.63989,1.20703,-0.24609,9.76563,True,False,3.80686,0.15469
