timestamp,acc_magnitude,tilt_x,tilt_y,acc_x,acc_y,acc_z,stability
2024-12-02 07:51:02,10.169070950681776,0,1,-6.77,-1.152,7.5,Unknown
2024-12-02 07:51:03,10.138221195061785,0,1,-8.07,-2.07,5.777,In motion
2024-12-02 07:51:04,10.774919535662436,0,1,-3.477,10.191,-0.391,In motion
2024-12-02 07:51:05,12.507366629310905,0,1,-10.91,4.402,4.246,In motion
2024-12-02 07:51:06,9.951348250362862,0,1,-9.602,1.188,2.328,In motion
2024-12-02 07:51:07,9.159075826741473,0,1,-8.375,2.258,2.941,In motion
2024-12-02 07:51:08,9.83140610492721,0,1,-8.875,3.18,2.789,In motion
2024-12-02 07:51:10,9.917788513574989,0,1,-8.68,4.785,-0.352,In motion
2024-12-02 07:51:11,9.946606104596682,0,1,-8.574,4.941,-1.004,In motion
2024-12-02 07:51:12,9.784383373519253,0,1,-8.645,4.402,-1.273,Stable
2024-12-02 07:51:13,9.79673256754516,0,1,-9.062,3.445,1.41,Stable
2024-12-02 07:51:14,10.377037197581977,0,1,-9.414,4.176,-1.273,Stable
2024-12-02 07:51:15,9.700952272844146,0,1,-8.801,3.945,-1.043,In motion
2024-12-02 07:51:16,8.928307230376875,0,1,-7.766,3.715,2.367,In motion
2024-12-02 07:51:17,10.064287903274627,0,1,-9.023,4.441,-0.391,In motion
2024-12-02 07:51:18,9.756391033573838,0,1,-9.027,3.406,1.449,In motion
2024-12-02 07:51:19,9.673445353130393,0,1,-9.102,3.254,0.375,In motion
2024-12-02 07:51:20,9.767899364755964,0,1,-9.027,3.715,-0.352,Stable
2024-12-02 07:51:21,10.033394340899793,0,1,-8.797,4.633,-1.348,In motion
2024-12-02 07:51:22,10.045082279404186,0,1,-9.527,2.91,1.293,In motion
2024-12-02 07:51:23,9.561239145633792,0,1,-7.453,4.902,3.441,In motion
2024-12-02 07:51:24,9.55285412847909,0,1,-8.574,4.211,0.105,In motion
2024-12-02 07:51:26,12.148910774221696,0,1,-11.598,3.445,1.102,In motion
2024-12-02 07:51:27,10.58372009267063,0,1,-9.871,3.371,1.793,In motion
2024-12-02 07:51:28,9.87585748175823,0,1,-9.066,3.754,-1.117,In motion
2024-12-02 07:51:29,9.311061915807455,0,1,-6.617,4.176,5.047,In motion
2024-12-02 07:51:30,9.723334664609666,0,1,-8.758,4.137,-0.852,In motion
2024-12-02 07:51:31,9.607744636489876,0,1,-8.609,4.02,-1.426,In motion
2024-12-02 07:51:32,10.008792184874256,0,1,-8.758,4.594,-1.539,In motion
2024-12-02 07:51:33,9.696437129172757,0,1,-8.762,4.02,-1.043,Stable
2024-12-02 07:51:34,9.639599887962154,0,1,-8.879,3.637,-0.926,Stable
2024-12-02 07:51:35,9.742637168652028,0,1,-8.723,4.137,-1.309,In motion
2024-12-02 07:51:36,9.707191818440593,0,1,-9.145,3.102,0.988,In motion
2024-12-02 07:51:37,9.632237694326278,0,1,-8.957,3.523,0.375,In motion
2024-12-02 07:51:38,9.762868891878043,0,1,-9.184,3.293,-0.352,In motion
2024-12-02 07:51:39,9.807663585176645,0,1,-9.34,2.949,-0.508,Stable
2024-12-02 07:51:40,9.892609969062764,0,1,-9.184,3.676,0.07,Stable
2024-12-02 07:51:42,9.534672621542914,0,1,-9.066,2.949,0.145,In motion
2024-12-02 07:51:43,9.20321427545833,0,1,-8.531,3.406,0.566,In motion
2024-12-02 07:51:44,10.314444434868996,0,1,-9.988,2.336,-1.082,In motion
2024-12-02 07:51:45,9.06925239476772,0,1,-8.797,1.801,-1.273,In motion
2024-12-02 07:51:46,10.298980192232627,0,1,-8.57,5.398,1.867,In motion
2024-12-02 07:51:47,9.471029827848712,0,1,-7.266,5.781,1.867,In motion
2024-12-02 07:51:48,9.927625798749668,0,1,-5.121,3.637,7.688,In motion
2024-12-02 07:51:49,6.2762451354293045,0,1,-4.586,2.449,3.516,In motion
2024-12-02 07:51:50,9.570383168922758,0,1,-7.992,4.367,2.941,In motion
2024-12-02 07:51:51,9.81379080681874,0,1,-7.953,5.555,1.484,In motion
2024-12-02 07:51:52,9.937869791861836,0,1,-8.414,4.902,1.984,In motion
2024-12-02 07:51:53,9.369031219928774,0,1,-8.457,3.984,-0.621,In motion
2024-12-02 07:51:54,10.417634328387612,0,1,-8.074,5.59,3.477,In motion
2024-12-02 07:51:55,9.77352612929438,0,1,-8.258,5.055,1.332,In motion
2024-12-02 07:51:56,9.294541247420446,0,1,-7.496,3.984,3.785,In motion
2024-12-02 07:51:57,9.997072221405626,0,1,-7.453,6.512,1.41,In motion
2024-12-02 07:51:59,9.820629358651104,0,1,-7.836,5.629,1.832,Stable
2024-12-02 07:52:00,9.799477639139752,0,1,-7.836,5.629,1.715,Stable
2024-12-02 07:52:01,9.736659129290702,0,1,-7.609,5.781,1.867,Stable
2024-12-02 07:52:02,9.784380358510191,0,1,-7.613,5.973,1.449,Stable
2024-12-02 07:52:03,9.77408911356961,0,1,-7.531,6.051,1.484,Stable
2024-12-02 07:52:04,9.638436906469845,0,1,-6.691,6.777,1.484,Stable
2024-12-02 07:52:05,9.84293177869277,0,1,-7.113,6.664,1.371,In motion
2024-12-02 07:52:06,9.942444970931446,0,1,-6.426,7.156,2.52,In motion
2024-12-02 07:52:07,8.93458991784178,0,1,-6.004,3.484,5.625,In motion
2024-12-02 07:52:08,12.088113996815219,0,1,-7.766,9.188,1.18,In motion
2024-12-02 07:52:09,9.777809059293396,0,1,-7.875,4.289,3.898,In motion
2024-12-02 07:52:10,14.059677521195143,0,1,-11.098,8.312,2.328,In motion
2024-12-02 07:52:11,8.63146360705993,0,1,-6.848,5.172,-0.926,In motion
2024-12-02 07:52:12,10.008828752656326,0,1,-7.805,6.168,1.102,In motion
2024-12-02 07:52:14,9.951744620919492,0,1,-7.426,6.551,0.988,In motion
2024-12-02 07:52:15,9.927324211488209,0,1,-7.039,6.777,1.754,In motion
2024-12-02 07:52:16,9.937092834425972,0,1,-7.305,4.785,4.742,Stable
2024-12-02 07:52:17,10.961258550002368,0,1,-7.992,6.934,2.863,In motion
2024-12-02 07:52:18,7.119223904331146,0,1,-5.617,2.602,3.516,In motion
2024-12-02 07:52:19,10.21305664333651,0,1,-6.309,-0.078,8.031,In motion
2024-12-02 07:52:20,9.847259314144216,0,1,-6.652,1.914,7.004,In motion
2024-12-02 07:52:21,9.84767271998821,0,1,-6.348,7.273,1.945,In motion
2024-12-02 07:52:22,10.086177720028534,0,1,-5.812,8.234,-0.391,In motion
2024-12-02 07:52:23,9.548458147784908,0,1,-6.078,7.312,0.875,In motion
2024-12-02 07:52:24,10.044303310832465,0,1,-6.348,7.773,0.414,In motion
2024-12-02 07:52:25,8.401855211796974,0,1,-4.125,-0.461,7.305,In motion
2024-12-02 07:52:26,9.474624900226921,0,1,-3.551,0.496,8.77,In motion
2024-12-02 07:52:27,9.38967331700097,0,1,-3.781,-0.652,8.57,In motion
2024-12-02 07:52:29,10.497986949887107,0,1,-5.695,4.633,7.504,In motion
2024-12-02 07:52:30,13.696353310279347,0,1,-10.254,6.777,6.043,In motion
2024-12-02 07:52:31,10.282127503586016,0,1,-8.031,6.281,1.332,In motion
2024-12-02 07:52:32,9.822244600904623,0,1,-6.961,6.742,1.602,In motion
2024-12-02 07:52:33,9.36040602751825,0,1,-7.004,6.168,0.719,In motion
2024-12-02 07:52:34,10.244792091594636,0,1,-7.84,6.551,0.758,In motion
2024-12-02 07:52:35,9.93915252926526,0,1,-9.141,3.754,1.066,In motion
2024-12-02 07:52:36,9.819042774120094,0,1,-8.191,5.324,0.988,In motion
2024-12-02 07:52:37,7.026532217246285,0,1,-5.695,0.727,4.051,In motion
2024-12-02 07:52:38,9.889526075601399,0,1,-8.574,4.441,2.137,In motion
2024-12-02 07:52:39,9.851259665646825,0,1,-8.414,5.055,0.836,In motion
2024-12-02 07:52:40,9.788873990403596,0,1,-8.109,5.477,0.262,In motion
2024-12-02 07:52:41,9.79305769410147,0,1,-8.191,5.363,0.223,In motion
2024-12-02 07:52:42,10.115343296201074,0,1,-8.496,5.477,0.375,In motion
2024-12-02 07:52:44,9.11237274259564,0,1,-7.531,4.176,2.98,Stable
2024-12-02 07:52:45,9.90748827907457,0,1,-7.648,5.172,3.594,In motion
2024-12-02 07:52:46,7.823458314581858,0,1,-7.0,2.336,2.598,In motion
2024-12-02 07:52:47,6.678171980415,0,1,-5.66,2.566,2.445,In motion
2024-12-02 07:52:48,10.010888771732509,0,1,-9.262,3.789,-0.277,In motion
2024-12-02 07:52:49,9.83857255906567,0,1,-9.141,3.523,0.91,In motion
2024-12-02 07:52:50,9.748750945634011,0,1,-9.102,3.371,0.91,In motion
2024-12-02 07:52:51,9.740433101253762,0,1,-8.953,3.598,1.332,Stable
2024-12-02 07:52:52,9.643612912181824,0,1,-8.914,3.445,1.293,Stable
2024-12-02 07:52:53,9.738831757454278,0,1,-8.914,3.598,1.562,Stable
2024-12-02 07:52:54,9.87985652729836,0,1,-9.066,3.828,0.875,In motion
2024-12-02 07:52:55,9.81848399703335,0,1,-8.262,5.172,1.18,In motion
2024-12-02 07:52:56,13.73704862770748,0,1,-11.793,-2.07,6.734,In motion
2024-12-02 07:52:57,28.22910599009469,1,1,-23.012,7.891,14.32,In motion
2024-12-02 07:52:58,4.342566752509396,1,1,-3.863,1.379,-1.426,In motion
2024-12-02 07:52:59,3.360327067414718,1,1,-3.359,-0.039,-0.086,In motion
2024-12-02 07:53:01,7.120165026177413,0,1,-6.383,2.91,1.219,In motion
2024-12-02 07:53:02,15.130362487395999,0,1,-13.547,1.762,6.504,In motion
2024-12-02 07:53:03,15.79949246020264,0,1,-13.707,7.852,0.297,In motion
2024-12-02 07:53:04,10.644810049972708,0,1,-10.062,3.141,1.484,In motion
2024-12-02 07:53:05,9.90312400205107,0,1,-9.484,1.645,2.328,In motion
2024-12-02 07:53:06,9.96088610516153,0,1,-6.848,1.492,7.078,In motion
2024-12-02 07:53:07,10.756364720480615,0,1,-9.797,-0.613,4.398,In motion
2024-12-02 07:53:08,21.228042797205774,1,1,-18.496,10.227,1.984,In motion
2024-12-02 07:53:09,2.841670987288993,0,1,-1.598,2.219,-0.773,In motion
2024-12-02 07:53:10,11.610259687018202,0,1,-10.711,4.48,-0.047,In motion
2024-12-02 07:53:11,11.280938303173189,1,1,-10.371,-0.078,4.438,In motion
2024-12-02 07:53:12,12.929107355111567,1,1,-10.789,6.664,2.52,In motion
2024-12-02 07:53:13,6.70630375094955,0,1,-6.27,1.723,1.641,In motion
2024-12-02 07:53:14,4.262423489049393,0,1,-4.246,0.227,0.297,In motion
2024-12-02 07:53:16,9.533128657476515,1,1,-8.453,4.402,0.223,In motion
2024-12-02 07:53:17,4.9714588402198405,0,1,-4.355,-0.383,2.367,In motion
2024-12-02 07:53:18,4.882723113181823,0,1,-3.895,2.066,2.098,In motion
2024-12-02 07:53:19,6.761644548480791,0,1,-6.582,0.688,-1.387,In motion
2024-12-02 07:53:20,8.654450704695243,0,1,-7.688,3.637,1.602,In motion
2024-12-02 07:53:21,7.093251793077699,0,1,-6.965,1.34,-0.086,In motion
2024-12-02 07:53:22,7.295557895048192,0,1,-4.125,-2.414,5.512,In motion
2024-12-02 07:53:23,10.742813551393322,0,1,-10.289,2.871,1.141,In motion
2024-12-02 07:53:24,11.686667874120493,0,1,-10.141,5.207,-2.574,In motion
2024-12-02 07:53:25,9.433329846878037,0,1,-9.184,0.84,1.984,In motion
2024-12-02 07:53:26,13.50129804870628,0,1,-11.438,5.207,4.934,In motion
2024-12-02 07:53:27,2.1732247927906583,0,1,-0.641,-0.613,1.984,In motion
2024-12-02 07:53:28,20.07473449388559,0,1,-10.828,6.895,15.434,In motion
2024-12-02 07:53:29,8.865383184047941,0,1,-6.465,3.637,4.855,In motion
2024-12-02 07:53:30,10.591164005906055,1,1,-9.605,0.957,4.359,In motion
2024-12-02 07:53:32,8.61695056269908,0,1,-7.309,2.91,3.516,In motion
2024-12-02 07:53:33,9.813543142005337,0,1,-7.422,6.203,-1.656,In motion
2024-12-02 07:53:34,10.951985892978497,0,1,-9.375,3.789,4.207,In motion
2024-12-02 07:53:35,7.320484751708729,0,1,-5.082,2.297,4.742,In motion
2024-12-02 07:53:36,8.663364011745092,0,1,-8.262,2.336,-1.156,In motion
2024-12-02 07:53:37,9.706389957136484,0,1,-8.719,2.297,3.594,In motion
2024-12-02 07:53:38,9.795938188861749,0,1,-8.801,3.102,2.98,In motion
2024-12-02 07:53:39,11.772971460086023,0,1,-9.102,3.598,6.543,In motion
2024-12-02 07:53:40,9.675055452037471,0,1,-8.719,3.984,-1.309,In motion
2024-12-02 07:53:41,9.802685499392501,0,1,-8.723,4.367,-0.965,In motion
2024-12-02 07:53:42,9.912243338417394,0,1,-8.918,4.25,-0.812,Stable
2024-12-02 07:53:43,9.818441526026419,0,1,-8.535,4.785,-0.812,Stable
2024-12-02 07:53:45,11.60031439229127,0,1,-9.258,3.637,5.969,In motion
2024-12-02 07:53:46,8.308809421331073,0,1,-7.836,2.527,-1.117,In motion
2024-12-02 07:53:47,11.752625961886135,0,1,-10.062,5.938,-1.273,In motion
2024-12-02 07:53:48,11.211985060639352,0,1,-9.723,5.398,-1.426,In motion
2024-12-02 07:53:49,8.749226308651526,0,1,-7.914,1.531,3.402,In motion
2024-12-02 07:53:50,6.410937996892498,1,1,4.609,1.301,-4.262,In motion
2024-12-02 07:53:51,5.126168744783964,0,1,-4.125,2.91,-0.891,In motion
2024-12-02 07:53:52,9.06582445230438,0,1,-7.918,1.34,4.207,In motion
2024-12-02 07:53:53,8.220307658476049,0,1,-4.664,2.719,6.199,In motion
2024-12-02 07:53:54,7.496707610678169,1,1,-6.887,2.184,-2.0,In motion
2024-12-02 07:53:55,9.918906441740441,0,1,-8.336,5.172,-1.465,In motion
2024-12-02 07:53:56,10.517572581161492,1,1,-8.57,5.207,3.172,In motion
2024-12-02 07:53:57,13.120094626183151,0,1,-12.977,1.723,0.875,In motion
2024-12-02 07:53:58,9.730366334316503,0,1,-7.73,5.82,1.027,In motion
2024-12-02 07:53:59,6.64834422995681,0,1,-6.426,1.301,1.102,In motion
