bno_deep_sleep,bno_light_sleep,feather_deep_sleep,feather_light_sleep
3.545009,3.540361,3.548424,3.692633
3.541779,3.536813,3.544683,3.687284
3.535716,3.535853,3.539199,3.685092
3.538688,3.538237,3.536169,3.688319
3.538559,3.537271,3.538301,3.691986
3.537334,3.534631,3.538559,3.705909
3.534500,3.531152,3.533927,3.719122
3.529991,3.529475,3.531281,3.724414
3.530119,3.530311,3.529346,3.724221
3.530313,3.530052,3.529603,3.713778
3.533595,3.531797,3.531405,3.707856
3.532826,3.530962,3.532249,3.703603
3.531799,3.531801,3.531673,3.704178
3.532184,3.531544,3.531285,3.703409
3.531542,3.531416,3.531156,3.701859
3.531865,3.530833,3.530704,3.701472
3.531671,3.530963,3.530445,3.699212
3.531543,3.530640,3.530511,3.697985
3.531155,3.530315,3.530768,3.698178
3.531283,3.530640,3.528829,3.697468
3.529542,3.530898,3.529477,3.698113
3.529542,3.528829,3.526633,3.697209
3.529025,3.529411,3.527214,3.696500
3.528702,3.529411,3.526891,3.697015
3.528378,3.527667,3.526505,3.696692
3.526181,3.528248,3.526439,3.695597
3.527602,3.526826,3.527148,3.695145
3.527602,3.525988,3.527148,3.695145
3.526439,3.526568,3.527471,3.695918
3.526568,3.526633,3.527276,3.694436
3.526116,3.526181,3.527019,3.694368
3.526374,3.525859,3.527534,3.693724
3.527148,3.526116,3.527211,3.693529
3.526116,3.526181,3.528181,3.692303
3.527019,3.525537,3.528310,3.692691
3.527211,3.525537,3.527019,3.692883
3.527791,3.525729,3.530055,3.693599
3.527019,3.525988,3.530055,3.691661
3.527019,3.525729,3.529861,3.693077
3.527019,3.525666,3.530055,3.691146
3.527019,3.526116,3.530055,3.692947
3.527019,3.525537,3.529861,3.697078
3.530055,3.525537,3.529860,3.697078
3.527019,3.525729,3.529860,3.693666
3.527019,3.525537,3.529733,3.694241
3.527019,3.528377,3.529860,3.696177
3.529475,3.525537,3.529860,3.695531
3.529861,3.525022,3.528121,3.694437
3.528702,3.525537,3.529668,3.696048
3.529860,3.525537,3.529668,3.695724
3.529410,3.528378,3.529860,3.696306
3.529861,3.526956,3.529668,3.696756
3.529733,3.529088,3.528186,3.695017
3.528314,3.528702,3.527218,3.696306
3.529733,3.529088,3.527734,3.695790
3.528443,3.529023,3.526443,3.697015
3.528573,3.529023,3.527023,3.696499
3.528121,3.529088,3.526892,3.695854
3.528378,3.529023,3.525345,3.696369
3.528443,3.529603,3.526378,3.695789
3.528443,3.528895,3.525928,3.695466
3.527926,3.529023,3.525411,3.696884
3.528121,3.528895,3.525411,3.696434
3.528378,3.528700,3.526379,3.696111
3.529410,3.528831,3.525925,3.694630
3.526896,3.528636,3.524829,3.695147
3.526057,3.528505,3.523926,3.696433
3.525347,3.528313,3.525665,3.694437
3.525539,3.528121,3.523990,3.691794
3.524637,3.527861,3.523410,3.693791
3.524316,3.527603,3.523405,3.692571
3.525992,3.527474,3.522444,3.690766
3.525086,3.527152,3.523408,3.692699
3.525411,3.528377,3.523276,3.694051
3.523410,3.526958,3.522054,3.688251
3.524572,3.527410,3.520892,3.693086
3.525539,3.527472,3.523469,3.691859
3.524441,3.527603,3.522759,3.687861
3.524506,3.525862,3.526696,3.685671
3.525345,3.526184,3.526696,3.691992
3.523539,3.526638,3.526696,3.692827
3.526309,3.525927,3.526696,3.686961
3.524377,3.526507,3.526181,3.684575
3.525796,3.525862,3.526696,3.688054
3.525020,3.524568,3.525988,3.682192
3.524955,3.524636,3.526567,3.689477
3.523407,3.524055,3.526439,3.690122
3.526439,3.523409,3.525408,3.692183
3.526567,3.523604,3.526696,3.691216
3.526567,3.521860,3.525537,3.689926
3.526567,3.522636,3.526504,3.685286
3.526567,3.524572,3.526504,3.680837
3.526439,3.523087,3.526439,3.689155
3.526567,3.524698,3.526181,3.685931
3.526567,3.525729,3.526504,3.689541
3.526567,3.521407,3.526245,3.684769
3.526567,3.525472,3.526245,3.686316
3.526567,3.525794,3.526696,3.687478
3.526567,3.520569,3.526374,3.686707
3.526567,3.521150,3.525988,3.681678
3.526309,3.525537,3.526504,3.680581
3.526567,3.523282,3.523540,3.681293
3.526245,3.525988,3.523154,3.681935
3.526567,3.523403,3.524634,3.677876
3.526504,3.525794,3.526374,3.677685
3.526245,3.524892,3.526116,3.682386
3.526567,3.525729,3.525405,3.675495
3.526245,3.526181,3.520190,3.677553
