timestamp,acc_magnitude,tilt_x,tilt_y,acc_x,acc_y,acc_z,stability
2025-01-28 00:42:42,10.71166158912799,,,-6.367,-4.051,7.602,Unknown
2025-01-28 00:42:43,9.337265606161152,,,-5.41,0.355,7.602,In motion
2025-01-28 00:42:44,9.200417110109736,,,-5.105,-0.375,7.645,In motion
2025-01-28 00:42:46,8.735318254076379,,,-3.84,0.469,7.832,In motion
2025-01-28 00:42:47,10.245206732906857,,,-6.254,-8.113,-0.176,In motion
2025-01-28 00:42:48,9.705159607136814,,,-4.531,-6.621,-5.461,In motion
2025-01-28 00:42:49,9.700559210684712,,,-3.688,-5.852,-6.801,In motion
2025-01-28 00:42:50,9.718452397372742,,,-2.844,-4.934,-7.875,In motion
2025-01-28 00:42:51,9.741874049688796,,,-2.883,-4.895,-7.914,Stable
2025-01-28 00:42:52,9.773747541245374,,,-1.504,-2.902,-9.211,Stable
2025-01-28 08:18:38,10.305839655263417,,,0.527,5.219,8.871,Unknown
2025-01-28 08:18:39,9.660428561922084,,,-1.082,1.234,9.52,In motion
2025-01-28 08:18:40,9.617011074133169,,,-0.777,1.887,9.398,In motion
2025-01-28 08:18:41,12.013890543866296,,,-2.039,-1.254,11.773,In motion
2025-01-28 08:18:42,9.380533247102747,,,1.598,-2.02,9.02,In motion
2025-01-28 08:18:43,8.660956702351074,,,5.695,-5.125,4.039,In motion
2025-01-28 08:18:44,9.919913759705777,,,4.09,-7.117,5.57,In motion
2025-01-28 08:18:45,10.251968152506132,,,4.051,-8.613,3.809,In motion
2025-01-28 08:18:46,9.953663747585608,,,3.207,-8.918,3.043,In motion
2025-01-28 08:18:47,10.13809341049884,,,3.168,-3.055,9.133,In motion
2025-01-28 08:18:49,10.017445333017795,,,-5.719,0.395,8.215,In motion
2025-01-28 08:18:50,9.0890281658712,,,-5.336,1.004,7.289,In motion
2025-01-28 08:18:51,10.045034196059266,,,-5.562,0.738,8.332,In motion
2025-01-28 08:18:52,8.9724282109137,,,-3.918,1.16,7.988,In motion
2025-01-28 08:18:53,10.863602257078451,,,-8.59,0.777,6.605,In motion
2025-01-28 08:18:54,10.633774729605664,,,-6.828,3.035,7.566,In motion
2025-01-28 08:18:55,9.749138269611318,,,-0.812,-0.488,9.703,In motion
2025-01-28 08:18:56,9.721477922620613,,,-0.891,-0.566,9.664,In motion
2025-01-28 08:18:57,9.749138269611318,,,-0.812,-0.488,9.703,In motion
2025-01-28 08:18:58,9.746285548864245,,,-0.777,-0.488,9.703,Stable
2025-01-28 08:18:59,9.71536813507342,,,-0.891,-0.449,9.664,In motion
2025-01-28 08:19:01,9.754162752384234,,,-0.891,-0.449,9.703,In motion
2025-01-28 08:19:02,9.75465806679045,,,-0.852,-0.449,9.707,Stable
2025-01-28 08:19:03,9.75465806679045,,,-0.852,-0.449,9.707,On Table
2025-01-28 08:19:04,9.748959585514752,,,-0.852,-0.41,9.703,On Table
2025-01-28 08:19:05,9.715849371002001,,,-0.852,-0.449,9.668,On Table
2025-01-28 08:19:06,8.642333712603328,,,0.758,-5.738,-6.418,In motion
2025-01-28 08:19:07,12.33800162100816,,,1.102,3.074,-11.898,In motion
2025-01-28 08:19:08,10.771303078086698,,,-1.465,9.168,-5.461,In motion
2025-01-28 08:19:09,8.631574016365729,,,1.445,8.477,0.746,In motion
2025-01-28 08:19:10,6.709482394343099,,,-6.445,1.352,-1.285,In motion
2025-01-28 08:19:11,11.217446545448746,,,-10.695,2.691,-2.051,In motion
2025-01-28 08:19:12,9.64784374873474,,,-9.586,1.082,-0.137,In motion
2025-01-28 08:19:13,9.632276470284685,,,-9.59,0.891,-0.137,In motion
2025-01-28 08:19:14,9.731198898388625,,,-9.586,1.656,-0.25,In motion
2025-01-28 08:19:15,9.740231054754297,,,-9.59,1.695,-0.176,Stable
2025-01-28 08:19:16,9.740231054754297,,,-9.59,1.695,-0.176,Stable
2025-01-28 08:19:17,9.71041039297516,,,-9.43,2.117,-0.941,Stable
2025-01-28 08:19:19,9.772081508051393,,,-9.551,1.926,-0.75,Stable
2025-01-28 08:19:20,9.697590783282207,,,-9.473,1.887,-0.863,In motion
2025-01-28 08:19:21,11.666028201577433,,,-11.543,-1.102,1.281,In motion
2025-01-28 08:19:22,12.05759184082792,,,-11.961,-0.184,1.512,In motion
2025-01-28 08:19:23,9.421672091513267,,,-9.324,1.352,0.055,In motion
2025-01-28 08:19:24,9.43238999405771,,,-8.93,1.965,2.316,In motion
2025-01-28 08:19:25,9.799795150920248,,,-9.473,2.0,-1.516,Stable
2025-01-28 08:19:26,9.799328242282733,,,-9.547,1.848,-1.211,Stable
2025-01-28 08:19:27,9.674736999009326,,,-9.59,0.66,-1.094,Stable
2025-01-28 08:19:28,9.596213003054904,,,-9.512,0.238,-1.246,In motion
2025-01-28 08:19:29,9.92067099545187,,,-9.586,2.309,-1.094,In motion
2025-01-28 08:19:30,10.871611702043078,,,-9.008,4.414,4.191,In motion
2025-01-28 08:19:31,7.3101043768198,,,-6.98,-0.449,2.125,In motion
2025-01-28 08:19:32,9.413579234276408,,,-9.32,-1.293,0.285,In motion
2025-01-28 08:19:34,9.633273846413793,,,-9.59,0.621,0.668,In motion
2025-01-28 08:19:35,9.932931188727725,,,-9.891,0.66,0.629,In motion
2025-01-28 08:19:36,9.697794852439394,,,-9.586,1.465,-0.098,Stable
